#  step      rmse_val    rmse_trn    rmse_e_val  rmse_e_trn    rmse_f_val  rmse_f_trn         lr
# If there is no available reference data, rmse_*_{val,trn} will print nan
      0      2.79e+03    1.75e+02      3.03e+00    3.00e+00      8.82e+01    5.52e+00    2.0e-03
   2000      1.20e+03    2.16e+03      1.75e+01    4.98e+00      4.04e+01    7.27e+01    1.8e-03
   4000      1.13e+03    2.54e+01      1.41e+00    5.27e+01      4.02e+01    0.00e+00    1.6e-03
   6000      6.64e+02    6.81e+02      1.57e+00    2.80e+00      2.52e+01    2.59e+01    1.4e-03
   8000      1.58e+02    2.64e+01      1.81e+01    4.18e+01      6.33e+00    0.00e+00    1.2e-03
  10000      9.49e+02    1.83e+02      2.99e+00    4.52e+00      4.07e+01    7.84e+00    1.1e-03
  12000      3.54e+02    1.14e+03      1.93e+00    4.41e+00      1.62e+01    5.21e+01    9.6e-04
  14000      1.31e+02    4.85e+02      1.52e+01    2.33e+00      6.31e+00    2.35e+01    8.5e-04
  16000      8.19e+02    2.12e+02      1.22e+01    1.07e+00      4.21e+01    1.09e+01    7.5e-04
  18000      1.06e+02    6.19e+01      9.03e-01    2.21e+00      5.83e+00    3.38e+00    6.7e-04
  20000      1.10e+02    6.20e+02      1.10e+01    3.16e+00      6.33e+00    3.61e+01    5.9e-04
  22000      7.46e+02    4.43e+02      2.38e+00    2.97e+00      4.61e+01    2.74e+01    5.2e-04
  24000      4.18e+02    8.36e-01      2.65e+00    9.50e-01      2.74e+01    0.00e+00    4.6e-04
  26000      5.72e+01    2.78e+02      2.74e-01    4.21e+00      3.99e+00    1.94e+01    4.1e-04
  28000      7.86e+01    5.83e+01      2.12e-01    3.26e+00      5.83e+00    4.30e+00    3.6e-04
  30000      2.24e+02    1.08e+02      1.70e+00    1.49e+00      1.76e+01    8.51e+00    3.2e-04
  32000      7.27e+01    5.21e+01      5.75e+00    1.68e+00      6.05e+00    4.35e+00    2.8e-04
  34000      7.17e+01    3.86e+01      7.41e+00    2.69e+00      6.32e+00    3.40e+00    2.5e-04
  36000      6.17e+01    6.19e+01      6.75e-02    1.32e+00      5.83e+00    5.84e+00    2.2e-04
  38000      3.98e+01    4.41e+02      1.90e+00    5.21e+00      3.99e+00    4.42e+01    2.0e-04
  40000      5.47e+01    5.31e+02      6.58e-01    7.03e+00      5.83e+00    5.66e+01    1.7e-04
  42000      5.15e+01    2.42e+01      1.07e+00    1.50e+00      5.83e+00    2.72e+00    1.5e-04
  44000      4.84e+01    7.97e+02      5.79e-02    9.25e+00      5.83e+00    9.59e+01    1.4e-04
  46000      2.27e+02    1.28e-01      2.98e+00    1.32e-01      2.90e+01    0.00e+00    1.2e-04
  48000      4.04e+01    5.75e+02      3.42e+00    8.18e+00      5.45e+00    7.79e+01    1.1e-04
  50000      4.31e+01    3.18e-01      6.06e+00    3.25e-01      6.09e+00    0.00e+00    9.5e-05
  52000      2.62e+01    2.50e-03      2.94e+00    2.55e-03      3.96e+00    0.00e+00    8.4e-05
  54000      7.44e+02    5.69e+01      3.14e+00    4.17e+00      1.21e+02    9.14e+00    7.4e-05
  56000      7.61e+02    9.40e+01      1.93e+01    4.10e+00      1.31e+02    1.61e+01    6.6e-05
  58000      3.57e+01    4.63e+01      6.57e+00    7.53e-01      6.30e+00    8.46e+00    5.8e-05
  60000      2.51e+02    4.38e+01      3.59e+00    8.21e-01      4.86e+01    8.47e+00    5.1e-05
  62000      1.93e+01    6.34e-02      1.75e+00    6.42e-02      3.93e+00    0.00e+00    4.5e-05
  64000      1.81e+01    9.29e+01      1.68e+00    1.88e+00      3.91e+00    2.02e+01    4.0e-05
