#"Step","Time (ps)","Potential Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Speed (ns/day)"
25000,50.0,-1844.21053754,-1060.00238965,288.877332369,0
50000,99.9999999999,-1875.49450657,-1064.55961705,298.722613682,1.24e+03
75000,150.0,-2036.90572771,-1174.57937436,317.653593954,1.23e+03
100000,200.0,-1886.98211699,-1136.30164975,276.526801488,1.23e+03
125000,250.0,-1845.77436192,-969.511291289,322.78743721,1.23e+03
150000,300.000000001,-1890.72999335,-1059.37068073,306.246321357,1.19e+03
175000,350.000000001,-1929.63393707,-1090.47313508,309.12014184,1.2e+03
200000,400.000000001,-1902.08764441,-1109.11798839,292.10479322,1.2e+03
225000,450.000000001,-1917.36947067,-1063.91036151,314.387183304,1.21e+03
250000,500.000000002,-1978.52925046,-1139.66432364,309.011150838,1.21e+03
275000,550.000000001,-1919.72605064,-1090.50050331,305.460310109,1.21e+03
300000,600.0,-1923.60644217,-1023.62366704,331.525021715,1.21e+03
325000,649.999999998,-1927.29481079,-1088.69361811,308.913999574,1.21e+03
350000,699.999999997,-1905.84489464,-1036.85291937,320.108997007,1.22e+03
375000,749.999999996,-1885.77620688,-1123.33024413,280.860835721,1.21e+03
400000,799.999999995,-1938.6472025,-1157.90482399,287.600653188,1.22e+03
425000,849.999999994,-1882.67138608,-1053.44723125,305.459797155,1.22e+03
450000,899.999999993,-1978.79724215,-1087.77953865,328.222574548,1.22e+03
475000,949.999999991,-1894.20914623,-1124.81887542,283.41889788,1.22e+03
500000,999.99999999,-2037.6257713,-1209.74709846,304.964164399,1.22e+03
525000,1049.99999999,-1962.48302662,-1128.61121095,307.171847547,1.22e+03
550000,1099.99999999,-1940.38991822,-1070.75659238,320.345250152,1.22e+03
575000,1149.99999999,-1995.04838081,-1170.20129074,303.847425755,1.22e+03
600000,1199.99999999,-1969.3284754,-1179.99407452,290.765680882,1.22e+03
625000,1249.99999998,-1979.42742928,-1197.62213359,287.992198065,1.22e+03
650000,1299.99999998,-1850.44024073,-1011.13678168,309.172692159,1.22e+03
675000,1349.99999998,-1954.95389935,-1069.96895607,326.000297612,1.22e+03
700000,1399.99999998,-1935.33154154,-1110.0215845,304.017931219,1.22e+03
725000,1449.99999998,-1973.37411751,-1128.36802347,311.273361464,1.22e+03
750000,1499.99999998,-1958.92002955,-1157.70610957,295.141717772,1.22e+03
775000,1549.99999998,-1949.89598533,-1169.56294276,287.449866852,1.22e+03
800000,1599.99999998,-1944.26261594,-1107.83626708,308.112856303,1.22e+03
825000,1649.99999997,-1925.53496618,-1095.72965822,305.67387548,1.22e+03
850000,1699.99999997,-2065.78060882,-1231.48416881,307.328265642,1.22e+03
875000,1749.99999997,-1880.16962624,-1046.11262389,307.240064427,1.22e+03
900000,1799.99999997,-1969.68137962,-1106.75288723,317.875402821,1.22e+03
925000,1849.99999997,-1977.20343901,-1084.86755395,328.708150692,1.22e+03
950000,1899.99999997,-2031.49905819,-1164.99550889,319.192340047,1.22e+03
975000,1949.99999997,-2074.3097573,-1255.36842463,301.671932617,1.22e+03
1000000,1999.99999997,-1952.30253554,-1113.48731914,308.992839102,1.22e+03
1025000,2049.99999997,-2004.45155289,-1169.10235294,307.716068912,1.22e+03
1050000,2099.99999996,-1965.75819938,-1232.49388141,270.111246185,1.22e+03
1075000,2149.99999996,-2030.27118694,-1193.94451249,308.076139417,1.22e+03
1100000,2199.99999996,-1920.78697301,-1147.27488329,284.93724483,1.22e+03
1125000,2249.99999996,-2093.99381503,-1286.85389098,297.324669138,1.22e+03
1150000,2299.99999996,-1939.59333532,-1079.73003107,316.746285028,1.22e+03
1175000,2349.99999996,-1931.10259251,-1028.53634652,332.476690186,1.22e+03
1200000,2399.99999996,-2033.7605066,-1252.29011488,287.868830096,1.22e+03
1225000,2449.99999996,-2022.92006885,-1202.5724048,302.189980355,1.22e+03
